supertema,tema,obras
Retrato de familias,Madre-hijo,42
Retrato de familias,Padre-hijo,16
Retrato de familias,Parejas,22
Retrato de niños,Grupo de niños,31
Retrato de niños,Niños muertos,4
Retrato de niños,Retrato individual infantil,143
Retrato femenino,Europeas y criollas,516
Retrato femenino,Miniaturas femeninas,126
Retrato femenino,Monjas,187
Retrato femenino,Mujeres indígenas,21
Retrato femenino,Reinas,7
Retrato masculino,Europeos y criollos,1334
Retrato masculino,Funerario masculino,9
Retrato masculino,Hombres indígenas,92