pais,conteo
Celeste,1495,0.077864583,Escenario
Celeste / Escatológico,339,0.01765625,Escenario
Celeste / Terrestre,2465,0.128385417,Escenario
Escenario Simbólico,771,0.04015625,Escenario
Sin datos,2471,0.128697917,Escenario
Sin definir,2968,0.154583333,Escenario
Sin definir - Claroscuro,841,0.043802083,Escenario
Terrestre / Ciudad - poblado,962,0.050104167,Escenario
Terrestre / Interior casa-habitación,2202,0.1146875,Escenario
Terrestre / Interior templo,432,0.0225,Escenario
Terrestre / cortinaje,409,0.021302083,Escenario
Terrestre / interior - paisaje,406,0.021145833,Escenario
Terrestre / paisaje,2843,0.148072917,Escenario
Terrestre otro,596,0.031041667,Escenario