name,total
San José,355,,,,,,,,,,,,,,,,,,,
Sagrada Familia,262,,,,,,,,,,,,,,,,,,,
Egipto,203,,,,,,,,,,,,,,,,,,,
Coronación,185,,,,,,,,,,,,,,,,,,,
Anunciación,156,,,,,,,,,,,,,,,,,,,
Sagrada Familia Virgen,133,,,,,,,,,,,,,,,,,,,
Adoración Pastores,127,,,,,,,,,,,,,,,,,,,
Asunción,118,,Gráfica 39,,,,,,,,,,,,,,,,,
Adoración Reyes,105,,,,,,,,,,,,,,,,,,,
Desposorios,89,,,,,,,,,,,,,,,,,,,
Nacimiento Virgen,66,,,,,,,,,,,,,,,,,,,
Visitación,64,,,,,,,,,,,,,,,,,,,
Tránsito,57,,,,,,,,,,,,,,,,,,,
Concepción Virgen,50,,,,,,,,,,,,,,,,,,,
Presentación,36,,,,,,,,,,,,,,,,,,,
Doctores,31,,,,,,,,,,,,,,,,,,,